IR,QC,QD,Tavg,Tmin,Tmax,chargetime,cycle,battery_id,cycle_life,C1,Q1,C2
0.016742354,1.0710422,1.0706892,31.875010776448963,29.56613,35.652016,13.341250000000006,2.0,b1c0,1190.0,3.6,80.0,3.6
0.016724309,1.0716741,1.0719005,31.931490327663376,29.604385,35.692978,13.42577666666666,3.0,b1c0,1190.0,3.6,80.0,3.6
0.016681245,1.0723044,1.0725095,31.9326034757631,29.744202,35.680588,13.425166666666671,4.0,b1c0,1190.0,3.6,80.0,3.6
0.016661867,1.07297,1.073174,31.95932155887516,29.644709,35.728691,13.34144166666665,5.0,b1c0,1190.0,3.6,80.0,3.6
0.016623382,1.0734913,1.0735761,31.96106185480935,29.752932,35.711758,13.34083499999997,6.0,b1c0,1190.0,3.6,80.0,3.6
0.016599579,1.073922,1.0739917,31.900562096745,29.564377,35.61565,13.34019833333332,7.0,b1c0,1190.0,3.6,80.0,3.6
0.016576905,1.0741584,1.0743741,31.92166784685496,29.62863,35.546783,13.425441666666666,8.0,b1c0,1190.0,3.6,80.0,3.6
0.016588196,1.0743366,1.0744922,31.870082320070757,29.597345,35.539406,13.42519000000005,9.0,b1c0,1190.0,3.6,80.0,3.6
0.016572181,1.0743531,1.0745373,31.84105267610617,29.687315,35.499729,13.42563333333334,10.0,b1c0,1190.0,3.6,80.0,3.6
0.016564831,1.0746447,1.0747814,31.811381731685728,29.509727,35.486984,13.340996666666737,11.0,b1c0,1190.0,3.6,80.0,3.6
0.016629694,1.0710218,1.0738269,31.5412074655022,29.126949,35.399788,13.341906666666668,13.0,b1c0,1190.0,3.6,80.0,3.6
0.016623681,1.0734307,1.0750562,31.554487467264536,29.173849,35.361366,13.425951666666515,14.0,b1c0,1190.0,3.6,80.0,3.6
0.016606225,1.0745616,1.0730921,31.60416723916967,29.232649,35.380379,13.425368333333363,15.0,b1c0,1190.0,3.6,80.0,3.6
0.016644137,1.0752127,1.0758405,31.626640685333328,29.425863,35.396084,13.341238333333362,16.0,b1c0,1190.0,3.6,80.0,3.6
0.016638549,1.0735142,1.072405,31.56672500361993,29.445898,35.421181,13.461158333333394,17.0,b1c0,1190.0,3.6,80.0,3.6
0.016635945,1.075841,1.0761998,31.610988598720265,29.336567,35.421665,13.428950000000135,18.0,b1c0,1190.0,3.6,80.0,3.6
0.016622188,1.075995,1.0761871,31.563843511353305,29.438148,35.282478,13.42597666666649,19.0,b1c0,1190.0,3.6,80.0,3.6
0.016603719,1.0751143,1.0764284,31.581725207111127,29.490742,35.215897,13.35776333333318,20.0,b1c0,1190.0,3.6,80.0,3.6
0.016579002,1.07526,1.0765469,31.56066323885912,29.550705,35.270439,13.44267000000012,21.0,b1c0,1190.0,3.6,80.0,3.6
0.016562166,1.076412,1.0766536,31.608153900709212,29.576149,35.203217,13.34155166666654,22.0,b1c0,1190.0,3.6,80.0,3.6
0.016565233,1.0764353,1.0766355,31.644954582887834,29.417404,35.17334,13.42555999999992,23.0,b1c0,1190.0,3.6,80.0,3.6
0.016568111,1.0765072,1.0754509,31.606933999116603,29.331137,35.262707,13.4254866666665,24.0,b1c0,1190.0,3.6,80.0,3.6
0.016572051,1.0764282,1.0766494,31.61624455135141,29.268419,35.29155,13.341149999999956,25.0,b1c0,1190.0,3.6,80.0,3.6
0.016596386,1.0763686,1.076545,31.51765399645071,29.161713,35.25309,13.341895000000171,26.0,b1c0,1190.0,3.6,80.0,3.6
0.016587147,1.075214,1.0765674,31.514766877424968,29.115284,35.272129,13.358211666666708,27.0,b1c0,1190.0,3.6,80.0,3.6
0.0165787,1.0763866,1.0765301,31.526239499999964,29.154787,35.241489,13.34183833333324,28.0,b1c0,1190.0,3.6,80.0,3.6
0.016594874,1.076308,1.0764797,31.47223754365438,29.11447,35.183762,13.3414916666666,29.0,b1c0,1190.0,3.6,80.0,3.6
0.016588323,1.0763638,1.0765879,31.50223401731998,29.157345,35.214653,13.425248333333489,30.0,b1c0,1190.0,3.6,80.0,3.6
0.016598366,1.0764072,1.0766202,31.52989696794298,29.315342,35.238499,13.425430000000052,31.0,b1c0,1190.0,3.6,80.0,3.6
0.016610153,1.0764409,1.0766256,31.50271882777274,29.312763,35.250328,13.426281666666425,32.0,b1c0,1190.0,3.6,80.0,3.6
0.016610581,1.0764945,1.0766001,31.475398297535182,29.344658,35.219761,13.341931666666644,33.0,b1c0,1190.0,3.6,80.0,3.6
0.016612098,1.0764641,1.0766319,31.54514113550136,29.416283,35.310757,13.42565999999982,34.0,b1c0,1190.0,3.6,80.0,3.6
